breakpoints,primitives,points
0,movej_fit,"[array([-0.58589046, -0.03341733,  0.40482559, -2.79157683, -1.61501501,
        0.95669868])]"
500,movel_fit,"[array([1090.04687604, -496.46903793,  994.02209111])]"
1000,movel_fit,"[array([1089.87327558, -486.19544676,  994.00598958])]"
1500,movel_fit,"[array([1089.64053804, -475.92225473,  993.99804096])]"
2000,movel_fit,"[array([1089.3485966 , -465.64945538,  993.99772379])]"
2500,movel_fit,"[array([1088.99740161, -455.37788431,  994.0043056 ])]"
3000,movel_fit,"[array([1088.58691141, -445.10814822,  994.01684143])]"
3500,movel_fit,"[array([1088.11714839, -434.84158351,  994.03417301])]"
4000,movel_fit,"[array([1087.58809772, -424.57764555,  994.05493497])]"
4500,movel_fit,"[array([1086.99987169, -414.3171544 ,  994.07755306])]"
5000,movel_fit,"[array([1086.35263196, -404.06010802,  994.10025336])]"
5500,movel_fit,"[array([1085.64667228, -393.80673869,  994.12106882])]"
6000,movel_fit,"[array([1084.88248451, -383.55783201,  994.13785144])]"
6500,movel_fit,"[array([1084.06069223, -373.31328141,  994.14829296])]"
7000,movel_fit,"[array([1083.18217252, -363.07327533,  994.14994589])]"
7500,movel_fit,"[array([1082.24809489, -352.83814298,  994.14025491])]"
8000,movel_fit,"[array([1081.25999072, -342.60852828,  994.11659698])]"
8500,movel_fit,"[array([1080.21957922, -332.38315277,  994.07632082])]"
9000,movel_fit,"[array([1079.12935213, -322.16411565,  994.01682163])]"
9500,movel_fit,"[array([1077.99197094, -311.95038519,  993.93558269])]"
10000,movel_fit,"[array([1076.81064026, -301.74108665,  993.83025545])]"
10500,movel_fit,"[array([1075.58948087, -291.53803266,  993.69878103])]"
11000,movel_fit,"[array([1074.33277119, -281.33878601,  993.53940309])]"
11500,movel_fit,"[array([1073.04579074, -271.14334922,  993.35084405])]"
12000,movel_fit,"[array([1071.73470804, -260.95256432,  993.13241099])]"
12500,movel_fit,"[array([1070.40611315, -250.76410392,  992.88401633])]"
13000,movel_fit,"[array([1069.06774438, -240.57776349,  992.60639553])]"
13500,movel_fit,"[array([1067.72804384, -230.39165974,  992.30112642])]"
14000,movel_fit,"[array([1066.39662198, -220.20548206,  991.97081714])]"
14500,movel_fit,"[array([1065.08400299, -210.01835864,  991.61913414])]"
15000,movel_fit,"[array([1063.80150469, -199.82776053,  991.25081887])]"
15500,movel_fit,"[array([1062.56145763, -189.63104945,  990.87177319])]"
16000,movel_fit,"[array([1061.37767595, -179.42965162,  990.4892228 ])]"
16500,movel_fit,"[array([1060.26426535, -169.21942658,  990.11131124])]"
17000,movel_fit,"[array([1059.23664063, -158.99975186,  989.74733848])]"
17500,movel_fit,"[array([1058.31098097, -148.77001856,  989.40745865])]"
18000,movel_fit,"[array([1057.50401068, -138.52862045,  989.10240455])]"
18500,movel_fit,"[array([1056.8331047 , -128.27670879,  988.84327125])]"
19000,movel_fit,"[array([1056.31568156, -118.01392143,  988.6409632 ])]"
19500,movel_fit,"[array([1055.96924889, -107.74676326,  988.50582167])]"
20000,movel_fit,"[array([1055.81037485,  -97.47782369,  988.44677477])]"
20500,movel_fit,"[array([1055.85462114,  -87.20689813,  988.47083274])]"
21000,movel_fit,"[array([1056.11629152,  -76.93479062,  988.58250118])]"
21500,movel_fit,"[array([1056.60744792,  -66.6711518 ,  988.78291601])]"
22000,movel_fit,"[array([1057.33730363,  -56.42395872,  989.06922328])]"
22500,movel_fit,"[array([1058.31194762,  -46.19946029,  989.43420908])]"
23000,movel_fit,"[array([1059.53382963,  -36.0045413 ,  989.86600269])]"
23500,movel_fit,"[array([1061.00181102,  -25.84373904,  990.34818739])]"
24000,movel_fit,"[array([1062.71055642,  -15.72279037,  990.859905  ])]"
24500,movel_fit,"[array([1064.65135241,   -5.64314374,  991.37664355])]"
25000,movel_fit,"[array([1066.81137712,    4.39291914,  991.87075386])]"
25500,movel_fit,"[array([1069.17416528,   14.38448874,  992.31255661])]"
26000,movel_fit,"[array([1071.72066538,   24.33510898,  992.67163354])]"
26500,movel_fit,"[array([1074.42798354,   34.24639267,  992.91785381])]"
27000,movel_fit,"[array([1077.27102269,   44.12353344,  993.02299167])]"
27500,movel_fit,"[array([1080.22086608,   53.96855148,  992.9621236 ])]"
28000,movel_fit,"[array([1083.24716489,   63.78767931,  992.71526645])]"
28500,movel_fit,"[array([1086.31663547,   73.58526569,  992.2688989 ])]"
29000,movel_fit,"[array([1089.39479742,   83.36856131,  991.61727029])]"
29500,movel_fit,"[array([1092.44429171,   93.14144487,  990.7640313 ])]"
30000,movel_fit,"[array([1095.42908017,  102.91714315,  989.7221546 ])]"
30500,movel_fit,"[array([1098.31140366,  112.7084471 ,  988.51515675])]"
31000,movel_fit,"[array([1101.05073081,  122.52371527,  987.17821942])]"
31500,movel_fit,"[array([1103.60681742,  132.37719726,  985.7568835 ])]"
32000,movel_fit,"[array([1105.93738169,  142.28103603,  984.30748053])]"
32500,movel_fit,"[array([1107.99925716,  152.24965216,  982.89531299])]"
33000,movel_fit,"[array([1109.74708029,  162.29305409,  981.59350543])]"
